Package	Version	Source	Repository	License_Metadata	Usage_Class	Bundled_In_Candidate	Disposition	Notes
rmarkdown	2.31	Repository	CRAN	GPL-3	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
sass	0.4.10	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
scales	1.4.0	Repository	CRAN	MIT + file LICENSE	direct_support	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
shiny	1.14.0	Repository	CRAN	MIT + file LICENSE	direct_startup	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
signal	1.8-1	Repository	CRAN	GPL-2	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
sourcetools	0.1.7-2	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
stringi	1.8.7	Repository	CRAN	file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_MANUAL_NOTICE_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Terms are supplied only through the package LICENSE file and include bundled-component notices; preserve and manually review the complete upstream notice set.
stringr	1.6.0	Repository	CRAN	MIT + file LICENSE	direct_startup	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
sys	3.4.3	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
systemfonts	1.3.2	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
tibble	3.3.1	Repository	CRAN	MIT + file LICENSE	direct_startup	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
tidygraph	1.3.1	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
tidyr	1.3.2	Repository	CRAN	MIT + file LICENSE	direct_startup	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
tidyselect	1.2.1	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
tinytex	0.60	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
tweenr	2.0.3	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
utf8	1.2.6	Repository	CRAN	Apache License (== 2.0) | file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
uuid	1.2-2	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
vctrs	0.7.3	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
viridis	0.6.5	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
viridisLite	0.4.3	Repository	CRAN	MIT + file LICENSE	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
visNetwork	2.1.4	Repository	CRAN	MIT + file LICENSE	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
websocket	1.4.4	Repository	CRAN	GPL-2	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
withr	3.0.3	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
writexl	1.5.4	Repository	CRAN	BSD_2_clause + file LICENSE	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
xfun	0.60	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
xml2	1.6.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
xtable	1.8-8	Repository	CRAN	GPL (>= 2)	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
yaml	2.3.12	Repository	CRAN	BSD_3_clause + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
zip	3.0.0	Repository	CRAN	MIT + file LICENSE	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
