"section"	"setting"	"value"	"unit"	"role"	"source_locator"	"evidence_status"	"note"	"release_version"	"pasa_r_sha256"	"deconvolution_module_sha256"	"registry_status"
"Network and privacy"	"feedback_trigger"	"explicit Send feedback button"	"text"	"contract"	"PASA.R: observeEvent(input$fb_submit)"	"static-source-verified"	"When enabled, sends rating, optional comment, UTC timestamp, and release version; the legacy location field is omitted."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Network and privacy"	"feedback_acknowledgment"	"required before submission"	"text"	"contract"	"PASA.R: .pasa_feedback_submission_allowed()"	"source-evaluated"	"The configured deployment operator controls retention and handles response access or deletion requests."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Network and privacy"	"background_telemetry"	"false"	"logical"	"contract"	"PASA.R: network/privacy implementation"	"static-source-reviewed"	"No analytics, database, IP-geolocation, or automatic telemetry call is implemented."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Network and privacy"	"remote_data_trigger"	"explicit Load/Inspect action"	"text"	"contract"	"PASA.R: URL loader and sheet inspection observers"	"static-source-reviewed"	"Remote data are fetched only after a user action."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Input"	"browser_default_limit"	"32"	"MiB"	"default"	"PASA.R: .pasa_upload_limit_bytes()"	"source-evaluated"	"Configured before the Shiny app starts; a lower explicit limit is retained."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Input"	"lower_deployment_limit"	"PASA_UPLOAD_LIMIT_MIB or shiny.maxRequestSize"	"text"	"configuration"	"PASA.R: .pasa_upload_limit_bytes()"	"static-source-reviewed"	"The UI shows the effective app limit. A reverse proxy can impose a smaller limit."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Noise QC"	"method_identifier"	"PASA-NOISE-QC-3"	"text"	"method"	"PASA.R: .NOISE_QC_METHOD"	"source-evaluated"	"Operational residual and neighboring-point roughness screen."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Noise QC"	"min_global_resid"	"20"	"residuals"	"support floor"	"PASA.R: NOISE_QC_PARAMS$min_global_resid"	"source-evaluated"	"Insufficient support is not evaluated, never replaced by zero."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Noise QC"	"min_tail_resid"	"20"	"residuals"	"support floor"	"PASA.R: NOISE_QC_PARAMS$min_tail_resid"	"source-evaluated"	"Insufficient support is not evaluated, never replaced by zero."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Noise QC"	"min_region_resid"	"8"	"residuals"	"support floor"	"PASA.R: NOISE_QC_PARAMS$min_region_resid"	"source-evaluated"	"Insufficient support is not evaluated, never replaced by zero."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Noise QC"	"min_adjacent_resid"	"20"	"residuals"	"support floor"	"PASA.R: NOISE_QC_PARAMS$min_adjacent_resid"	"source-evaluated"	"Insufficient support is not evaluated, never replaced by zero."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Noise QC"	"adjacent_caution"	"0.5"	"percent"	"operational threshold"	"PASA.R: NOISE_QC_PARAMS$adjacent_caution"	"source-evaluated"	"Curvature can contribute; this does not diagnose a detector fault."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Noise QC"	"adjacent_fail"	"1.5"	"percent"	"operational threshold"	"PASA.R: NOISE_QC_PARAMS$adjacent_fail"	"source-evaluated"	"Curvature can contribute; this does not diagnose a detector fault."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Noise QC"	"tie_ranking"	"average exact-tie ranks"	"text"	"contract"	"PASA.R: compute_noise_qc()"	"static-source-reviewed"	"Sample order and names cannot split an exact tie."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"blank_failure"	"refuse malformed selected blank"	"text"	"contract"	"PASA.R: decon_blank_state()"	"static-source-reviewed"	"Current invalid input withholds cached fit outputs."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"red_edge_status"	"disabled; applied; no_change; refused"	"text"	"contract"	"deconvolution_module.R: .decon_prepare_red_clip()"	"static-source-reviewed"	"Requested/effective range and retained counts are reported together."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"bootstrap_all_attempts"	"same-K draws / requested draws"	"text"	"denominator"	"deconvolution_module.R: bootstrap accounting"	"static-source-reviewed"	"Defined only if the original spectrum has a selected K."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"bootstrap_conditional"	"same-K draws / selected draws"	"text"	"denominator"	"deconvolution_module.R: bootstrap accounting"	"static-source-reviewed"	"Undefined when no draw selects K; legacy conditional fields are retained."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"bootstrap_outcomes"	"selected; no admissible K; execution error; invalid return"	"text"	"contract"	"deconvolution_module.R: bootstrap accounting"	"static-source-reviewed"	"Every requested draw has an outcome record."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Input"	"worker_startup_stage_budget"	"30"	"seconds"	"startup limit"	"PASA.R: .PASA_WORKER_READY_TIMEOUT_SECS"	"source-evaluated"	"Connectivity and app initialization each have a bounded budget; whole-file load deadlines remain in force. A new request can retry a failed idle worker."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
